,IdJuego,platforms
1170,200150,windows
1171,200170,windows
1172,200190,windows
1173,200210,windows;mac
1174,200230,windows
1175,200260,windows;mac
1176,200370,windows
1177,200390,windows;mac;linux
1178,200410,windows
1179,200490,windows
1180,200510,windows;mac;linux
1181,200550,windows
1182,200670,windows
1183,200710,windows;mac;linux
1184,200900,windows;linux
1185,200960,windows
1186,200980,windows
1187,200990,windows
1188,201000,windows
1189,201010,windows
1190,201070,windows
1191,201210,windows;mac
1192,201230,windows
1193,201290,windows
1194,201420,windows;mac;linux
1195,201480,windows
1196,201490,windows
1197,201510,windows
1198,201570,windows
1199,201790,windows
1200,201810,windows
1201,201870,windows
1202,202130,windows
1203,202200,windows
1204,202310,windows
1205,202370,windows
1206,202410,windows;mac
1207,202670,windows;mac
1208,202690,windows
1209,202710,windows
1210,202730,windows;mac;linux
1211,202750,windows
1212,202860,windows
1213,202970,windows
1214,203140,windows;mac
1215,203160,windows;mac;linux
1216,203210,windows;mac;linux
1217,203290,windows
1218,203350,windows;mac
1219,203510,windows
1220,203560,windows;mac;linux
1221,203630,windows
1222,203650,windows
1223,203680,windows
1224,203750,windows
1225,203770,windows;mac;linux
1226,203830,windows;mac
1227,203990,windows;linux
1228,204030,windows
1229,204060,windows;mac;linux
1230,204100,windows
1231,204120,windows
1232,204180,windows;mac;linux
1233,204220,windows;mac;linux
1234,204240,windows;mac;linux
1235,204300,windows;mac;linux
1236,204340,windows
1237,204360,windows;mac
1238,204390,windows
1239,204440,windows;mac
1240,204530,windows;mac
1241,204560,windows
1242,204580,windows
1243,204630,windows;mac;linux
1244,204760,windows
1245,204860,windows
1246,204880,windows
1247,204940,windows
1248,204960,windows
1249,205020,windows;mac
1250,205060,windows;mac
1251,205070,windows;mac
1252,205080,windows;mac
1253,205090,windows;mac
1254,205100,windows
1255,205190,windows
1256,205230,windows
1257,205270,windows
1258,205530,windows;mac
1259,205550,windows;mac
1260,205610,windows
1261,205650,windows
1262,205690,windows;mac
1263,205710,windows
1264,205730,windows;mac;linux
1265,205810,windows
1266,205830,windows
1267,205840,windows
1268,205870,windows;mac
1269,205910,windows;mac;linux
1270,205950,windows
1271,205990,windows;mac;linux
1272,206020,windows
1273,206040,windows
1274,206060,windows
1275,206190,windows;mac;linux
1276,206210,windows
1277,206230,windows
1278,206250,windows
1279,206370,windows;mac;linux
1280,206410,windows
1281,206420,windows;linux
1282,206440,windows;mac;linux
1283,206480,windows;mac
1284,206500,windows
1285,206610,windows;mac
1286,206690,windows;mac;linux
1287,207000,windows;mac
1288,207020,windows
1289,207080,windows;mac
1290,207140,windows;mac;linux
1291,207170,windows;mac;linux
1292,207190,windows
1293,207230,windows
1294,207250,windows;mac;linux
1295,207320,windows
1296,207350,windows
1297,207370,windows
1298,207380,windows
1299,207400,windows
1300,207420,windows;mac;linux
1301,207430,windows;mac
1302,207490,windows
1303,207530,windows
1304,207570,windows;mac;linux
1305,207650,windows;mac;linux
1306,207670,windows;mac
1307,207690,windows;mac
1308,207710,windows;mac
1309,207730,windows
1310,207750,windows;mac;linux
1311,207790,windows
1312,207930,windows
1313,208110,windows;mac
