,IdJuego,categories
609,32680,Single-player;Multi-player
610,32710,Single-player;Multi-player;Co-op
611,32720,Single-player;Multi-player
612,32730,Single-player;Multi-player
613,32740,Single-player;Multi-player
614,32750,Single-player;Multi-player
615,32760,Single-player;Multi-player
616,32770,Single-player;Multi-player;Co-op
617,32900,Single-player
618,33100,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards
619,33110,Single-player;Steam Trading Cards
620,33120,Single-player;Steam Trading Cards
621,33130,Single-player
622,33180,Single-player
623,33230,Single-player
624,33320,Single-player
625,33390,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards
626,33460,Single-player
627,33520,Single-player
628,33570,Single-player
629,33600,Single-player
630,33610,Single-player;Partial Controller Support
631,33620,Single-player;Multi-player
632,33650,Single-player;Steam Achievements;Steam Leaderboards
633,33660,Single-player;Multi-player;Steam Achievements;Steam Leaderboards
634,33670,Single-player;Multi-player;Steam Achievements
635,33680,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards
636,33760,Single-player
637,33770,Single-player
638,33790,Single-player
