,nombre,categoria,direccion_completa,barrio,comuna
2068,OPERA BAY,RESTAURANTE,"GRIERSON, CECILIA 225",Retiro,Comuna 1
2069,OPORTO,RESTAURANTE,"SCALABRINI ORTIZ, RAUL AV. 2101",Palermo,Comuna 14
2070,ORCA,RESTAURANTE,JURAMENTO 1561,Belgrano,Comuna 13
2071,ORGANIC`S,RESTAURANTE,MAURE 1643,Palermo,Comuna 14
2072,ORIGEN,RESTAURANTE,PERU 1092,San Telmo,Comuna 1
2073,ORO LIQUIDO,RESTAURANTE,"DIAZ, CNEL. AV. 1443",Recoleta,Comuna 2
2074,ORPHEO,RESTAURANTE,"LARRALDE, CRISOLOGO AV. 1520",NuÃƒÂ±ez,Comuna 13
2075,OSCAR,RESTAURANTE,"ALSINA, ADOLFO 1745",Monserrat,Comuna 1
2076,OSOLEMIO,RESTAURANTE,CABILDO AV. 1588,Colegiales,Comuna 13
2077,O'SOLERIO,,CABILDO AV. 1586,Colegiales,Comuna 13
2078,OTEREL,RESTAURANTE,SOLIS 299,Monserrat,Comuna 1
2079,OTRO ROLLO BUENOS AIRES,RESTAURANTE,LAS HERAS GENERAL AV. 1856,Recoleta,Comuna 2
2080,OTTO GÃ¢â‚¬ï¿½RGUELL,RESTAURANTE,HUMBOLDT 1587,Palermo,Comuna 14
2081,OURO PRETO,BAR,CORRIENTES AV. 1301,San Nicolas,Comuna 1
2082,OVIEDO,RESTAURANTE,BERUTI 2602,Recoleta,Comuna 2
2083,OVIEDO,RESTAURANTE,GUATEMALA 5501,Palermo,Comuna 14
2084,OYE CHICO,RESTAURANTE,YERBAL 1655,Caballito,Comuna 6
2085,OYE PEDRO,RESTAURANTE,FLORIDA 787,San Nicolas,Comuna 1
2086,PABELLON,RESTAURANTE,URIARTE 1332,Palermo,Comuna 14
2087,PABLE NOU,RESTAURANTE,"BONIFACIO, JOSE 2808",Flores,Comuna 7
2088,PABLIN,RESTAURANTE,PUEYRREDON AV. 901,Balvanera,Comuna 3
2089,PABLO,RESTAURANTE,PUEYRREDON AV. 1015,Recoleta,Comuna 2
2090,PABLOS,PUB,NUEVA YORK 4086,Villa Devoto,Comuna 11
2091,PABLO'S,RESTAURANTE,CASEROS AV. 3602,Nueva Pompeya,Comuna 4
2092,PACHA,RESTAURANTE,SUIPACHA 766,San Nicolas,Comuna 1
2093,PACHIN,RESTAURANTE,"ALEM, LEANDRO N. AV. 266",San Nicolas,Comuna 1
2094,PACIFICO,RESTAURANTE,HONDURAS 5564,Palermo,Comuna 14
2095,PACO'S,RESTAURANTE,TALCAHUANO 236,San Nicolas,Comuna 1
2096,PACUS,RESTAURANTE,PUEYRREDON AV. 1790,Recoleta,Comuna 2
2097,PALADAR,RESTAURANTE,MALABIA 1510,Palermo,Comuna 14
2098,PALERMO,RESTAURANTE,SANTA FE AV. 4599,Palermo,Comuna 14
