,nombre,categoria,direccion_completa,barrio,comuna
2118,PAPINI,CAFE,"SCALABRINI ORTIZ, RAUL 2890",Palermo,Comuna 14
2119,PAPITO,RESTAURANTE,CASEROS AV. 1968,Barracas,Comuna 4
2120,PAPONA,CAFE,"LOPEZ, VICENTE 2134",Recoleta,Comuna 2
2121,PAPPA DEUS,RESTAURANTE,BETHLEM 423,San Telmo,Comuna 1
2122,PAPRIKA,RESTAURANTE,FRENCH 2999,Recoleta,Comuna 2
2123,PARADA I,RESTAURANTE,ENTRE RIOS AV. 1901,Parque Patricios,Comuna 4
2124,PARADISO,RESTAURANTE,ARENALES 2802,Recoleta,Comuna 2
2125,PARADOJAS,RESTAURANTE,"GALLARDO, ANGEL AV. 702",Caballito,Comuna 6
2126,PARADOR NORTE,RESTAURANTE,RIOBAMBA 1295,Recoleta,Comuna 2
2127,PARA GOURMET KIRIN,RESTAURANTE,"GALLARDO, ANGEL AV. 75",Villa Crespo,Comuna 15
2128,PARAISO,CAFE,ARAOZ 1227,Palermo,Comuna 14
2129,PARANA,RESTAURANTE,PARANA 607,San Nicolas,Comuna 1
2130,PARA VOS,RESTAURANTE,CHARLONE 499,Chacarita,Comuna 15
2131,PARISIEN,RESTAURANTE,"PELLEGRINI, CARLOS 999",Retiro,Comuna 1
2132,PARKING,RESTAURANTE,"URIBURU JOSE E., Pres. 1037",Recoleta,Comuna 2
2133,PARLAMENTO GRIEGO,RESTAURANTE,RIOBAMBA 65,Balvanera,Comuna 3
2134,PARODI II,RESTAURANTE,"MONTES DE OCA, MANUEL 368",Barracas,Comuna 4
2135,PARQUE DEVOTO,RESTAURANTE,SAN MARTIN AV. 6102,Villa Devoto,Comuna 11
2136,PARRI BURGER,RESTAURANTE,GUEMES 4403,Palermo,Comuna 14
2137,PARRIKA,RESTAURANTE,"MORENO, JOSE MARIA AV. 770",Caballito,Comuna 6
2138,PARRILLA,CAFE,CABILDO AV. 3954,Saavedra,Comuna 12
2139,PARRILLA,RESTAURANTE,PLAZA 2508,Villa Urquiza,Comuna 12
2140,PARRILLA,RESTAURANTE,"PERON, EVA AV. 5101",Mataderos,Comuna 9
2141,PARRILLA 83,RESTAURANTE,DIAZ VELEZ AV. 4293,Almagro,Comuna 5
2142,PARRILLA AMARILLA,RESTAURANTE,"PUEYRREDON, HONORIO, DR. AV. 1050",Caballito,Comuna 6
2143,PARRILLA CABALLITO,RESTAURANTE,BARCO CENTENERA del 138,Caballito,Comuna 6
2144,PARRILLA CORDOBA,RESTAURANTE,CORDOBA AV. 1751,Recoleta,Comuna 2
2145,PARRILLA DON ROGELIO,RESTAURANTE,DORREGO AV. 2720,Palermo,Comuna 14
2146,PARRILLA EL PRIMO,RESTAURANTE,BAEZ 302,Palermo,Comuna 14
2147,PARRILLA INDEPENDENCIA,RESTAURANTE,INDEPENDENCIA AV. 1789,Monserrat,Comuna 1
2148,PARRILLA LA PLAZA,RESTAURANTE,PAEZ 2900,Flores,Comuna 7
2149,PARRILLA LAS PEPAS,RESTAURANTE,SAN JOSE DE CALASANZ 20,Caballito,Comuna 6
2150,PARRILLA LOS GAUCHOS,RESTAURANTE,CHILE AV. 372,San Telmo,Comuna 1
2151,PARRILLA PATAGONIA,RESTAURANTE,MORENO 1110,Monserrat,Comuna 1
2152,PARRILLA PIZZA CAFE,,CASEROS AV. 3849,Boedo,Comuna 5
2153,PARRILLA POOL,RESTAURANTE,CHICLANA AV. 2898,San Cristobal,Comuna 3
2154,PASADINA,RESTAURANTE,GUIDO 1705,Recoleta,Comuna 2
2155,PASEO DE LA MAGNOLIA,RESTAURANTE,RIVADAVIA AV. 5377,Caballito,Comuna 6
2156,PASEO DEL SOL,RESTAURANTE,DIAZ VELEZ AV. 5005,Caballito,Comuna 6
2157,PASS,CAFE,ALVAREZ THOMAS AV. 1396,Villa Ortuzar,Comuna 15
2158,PASTICERIA,RESTAURANTE,TUCUMAN 1431,San Nicolas,Comuna 1
2159,PATAGONIA SUR,CAFE,ROCHA 803,Boca,Comuna 4
2160,PATAGONICOS PRODUCTOS,RESTAURANTE,SAN ISIDRO LABRADOR AV. 4408,Saavedra,Comuna 12
2161,PATA NEGRA,RESTAURANTE,"SCALABRINI ORTIZ, RAUL 3096",Palermo,Comuna 14
2162,PATXIM,RESTAURANTE,"ALVEAR, MARCELO T. De 1280",Retiro,Comuna 1
2163,PATY LIBRE,RESTAURANTE,MAIPU 512,San Nicolas,Comuna 1
2164,PAUCIN,RESTAURANTE,SARMIENTO 635,San Nicolas,Comuna 1
2165,P. CAPITAN,RESTAURANTE,DIAZ VELEZ AV. 5401,Caballito,Comuna 6
2166,PECARÃ‚Â S,RESTAURANTE,HONDURAS 5237,Palermo,Comuna 14
2167,PECK,CAFE,"QUINTANA, MANUEL, PRES. AV. 430",Recoleta,Comuna 2
2168,PEDRO 94,RESTAURANTE,"GOYENA, PEDRO AV. 94",Caballito,Comuna 6
2169,PEGASUS,BAR,CORDOBA AV. 906,San Nicolas,Comuna 1
2170,PEÃƒâ€˜AMIL,RESTAURANTE,ALBARELLOS AV. 2809,Villa Pueyrredon,Comuna 12
2171,PENELOPE,RESTAURANTE,NAZCA AV. 55,Flores,Comuna 7
2172,PENSO CAFE,BAR,LAVALLE 1557,San Nicolas,Comuna 1
2173,PEOPLE I,RESTAURANTE,"SCALABRINI ORTIZ, RAUL AV. 280",Villa Crespo,Comuna 15
2174,PEPA,RESTAURANTE,EL SALVADOR 4757,Palermo,Comuna 14
2175,PEPERONE,RESTAURANTE,LAVALLE 876,San Nicolas,Comuna 1
2176,PEPIN EXPRESS,RESTAURANTE,SAN MARTIN 521,San Nicolas,Comuna 1
2177,PERECHIO,RESTAURANTE,LA PLATA AV. 96,Almagro,Comuna 5
2178,PERICA,RESTAURANTE,DEL LIBERTADOR AV. 2004,Palermo,Comuna 14
2179,PERSICCO,RESTAURANTE,"SALGUERO, JERONIMO 2591",Palermo,Comuna 14
2180,PERSICCO,RESTAURANTE,RIVADAVIA AV. 4933,Caballito,Comuna 6
2181,PETALO,RESTAURANTE,CABILDO AV. 1616,Belgrano,Comuna 13
2182,PETIT BON,CAFE,PUEYRREDON AV. 1418,Recoleta,Comuna 2
2183,PETIT CAFE,RESTAURANTE,"PELLEGRINI, CARLOS 341",San Nicolas,Comuna 1
2184,PETIT CAFE,CONFITERIA,UGARTECHE 2810,Palermo,Comuna 14
2185,PETIT CALLAO,RESTAURANTE,CALLAO AV. 1301,Recoleta,Comuna 2
2186,PETIT CORDOBA CAFE,RESTAURANTE,CORDOBA AV. 1802,Balvanera,Comuna 3
2187,PETIT PAULISTA,RESTAURANTE,PASTEUR 791,Balvanera,Comuna 3
2188,PETIT PLAZA,CAFE,LIBERTAD 956,Retiro,Comuna 1
2189,PETIT VICTORIA,RESTAURANTE,GALLO 1309,Recoleta,Comuna 2
2190,PETRA'S,RESTAURANTE,DOBLAS 220,Caballito,Comuna 6
2191,PETRO,RESTAURANTE,CORDOBA AV. 1702,San Nicolas,Comuna 1
2192,PETTY BAR,BAR,LAVALLE 901,San Nicolas,Comuna 1
2193,PIACERE,SANDWICHERIA,CABILDO AV. 1562,Colegiales,Comuna 13
2194,PIACERE,RESTAURANTE,CALLAO AV. 1074,Recoleta,Comuna 2
2195,PIACERE,CONFITERIA,CABILDO AV. 1101,Palermo,Comuna 14
2196,PIACERE,RESTAURANTE,ARCOS 1994,Belgrano,Comuna 13
2197,PIACERE,CONFITERIA,LAS HERAS GENERAL AV. 2899,Palermo,Comuna 14
2198,PICAS,RESTAURANTE,BONPLAND 1920,Palermo,Comuna 14
2199,PICCOLO VAPORE,RESTAURANTE,NECOCHEA 1190,Boca,Comuna 4
2200,PICHI HUASI,RESTAURANTE,FRENCH 2281,Recoleta,Comuna 2
2201,PICUYO,RESTAURANTE,"PERON, EVA AV. 3381",Flores,Comuna 7
2202,PIEGARI PARRILLA,RESTAURANTE,POSADAS 1089,Retiro,Comuna 1
2203,PIEGARI RISTORANTE,RESTAURANTE,POSADAS 1042,Retiro,Comuna 1
2204,PIERINO,RESTAURANTE,"FALCON, RAMON L.,CNEL. 2701",Flores,Comuna 7
2205,PIERROT,RESTAURANTE,AZCUENAGA 483,Balvanera,Comuna 3
2206,PININ,,"CALVO, CARLOS 3629",Boedo,Comuna 5
2207,PINO'S,RESTAURANTE,RIVADAVIA AV. 3511,Almagro,Comuna 5
2208,PINUT,RESTAURANTE,"MANSILLA, LUCIO NORBERTO, GENERAL 3892",Palermo,Comuna 14
2209,PIOCERY,CAFE,PARAGUAY 1398,Retiro,Comuna 1
2210,PIOLA,RESTAURANTE,LIBERTAD 1078,Retiro,Comuna 1
2211,PIPAS,CAFE,CALLAO AV. 1569,Recoleta,Comuna 2
2212,PIPPER,,CABILDO AV. 1138,Colegiales,Comuna 13
2213,PIPPO 3,BAR,PARANA 356,San Nicolas,Comuna 1
2214,PIRIAPOLIS CAFE,CAFE,CORDOBA AV. 3051,Recoleta,Comuna 2
2215,PITOPA,RESTAURANTE,MONROE AV. 3415,Coghlan,Comuna 12
2216,PITOPA,RESTAURANTE,MONROE AV. 3400,Belgrano,Comuna 13
2217,PIU ARTESANAL,CAFE,SANTA FE AV. 2646,Recoleta,Comuna 2
2218,PIZARRO'S,RESTAURANTE,ECHEVERRIA 1401,Belgrano,Comuna 13
2219,PIZZA 3,RESTAURANTE,CHACABUCO 1314,San Telmo,Comuna 1
2220,PIZZA AL CORTE,RESTAURANTE,HONDURAS 5504,Palermo,Comuna 14
2221,PIZZA BOY,BAR,"ALSINA, ADOLFO 2800",Balvanera,Comuna 3
2222,PIZZA- CAFE,RESTAURANTE,"PAZ, GRAL. AV. 10868",Liniers,Comuna 9
2223,PIZZA CAFE LA ESQUINA,RESTAURANTE,FINOCHIETTO ENRIQUE DR. 1701,Barracas,Comuna 4
2224,"PIZZA, CAFE Y CULTURA",RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 1382",San Nicolas,Comuna 1
2225,PIZZA CHOP,RESTAURANTE,COBO AV. 1030,Nueva Pompeya,Comuna 4
2226,PIZZA CRACK,,VARELA AV. 1082,Flores,Comuna 7
2227,PIZZA & ESPUMA,CAFE,JUNCAL 2701,Recoleta,Comuna 2
2228,PIZZA JET,RESTAURANTE,FLORIDA 165,San Nicolas,Comuna 1
2229,PIZZA KROSS,RESTAURANTE,TRIUNVIRATO AV. 5402,Villa Urquiza,Comuna 12
2230,PIZZA LINIERS CAFE,RESTAURANTE,RIVADAVIA AV. 11576,Liniers,Comuna 9
2231,PIZZA MASS,RESTAURANTE,SARMIENTO 1601,San Nicolas,Comuna 1
2232,PIZZA NARANJA,RESTAURANTE,"IRIGOYEN, BERNARDO de 920",Constitucion,Comuna 1
2233,PIZZA PACK,RESTAURANTE,LAVALLE 836,San Nicolas,Comuna 1
2234,PIZZA PET,RESTAURANTE,SANTA FE AV. 5288,Palermo,Comuna 14
2235,PIZZA- PIZZA,RESTAURANTE,RIVADAVIA AV. 5033,Caballito,Comuna 6
2236,PIZZA PLAZA,RESTAURANTE,LAS HERAS GENERAL AV. 3293,Palermo,Comuna 14
2237,PIZZA QUE?,RESTAURANTE,CHARCAS 4037,Palermo,Comuna 14
2238,PIZZA TRACY,RESTAURANTE,"SALGUERO, JERONIMO 3172",Palermo,Comuna 14
2239,PIZZA TRACY,RESTAURANTE,POSADAS 1245,Retiro,Comuna 1
2240,PIZZA VIVA,RESTAURANTE,OLAZABAL AV. 5213,Villa Urquiza,Comuna 12
2241,PIZZA Y BIRRA,RESTAURANTE,RIVADAVIA AV. 7402,Flores,Comuna 7
2242,PIZZA Y CAFE EL QUIJOTE,RESTAURANTE,"GOYENA, PEDRO AV. 736",Caballito,Comuna 6
2243,PIZZA Y CAFE UNO,RESTAURANTE,RIVADAVIA AV. 6784,Flores,Comuna 7
2244,PIZZERIA BETO,RESTAURANTE,NOGOYA 3900,Villa Del Parque,Comuna 11
2245,PIZZERIA BURGIO,RESTAURANTE,CABILDO AV. 2477,Belgrano,Comuna 13
2246,PIZZERIA CANCHA,RESTAURANTE,BRASIL 2699,Parque Patricios,Comuna 4
2247,PIZZERIA CONGRESO,RESTAURANTE,RIVADAVIA AV. 1715,San Nicolas,Comuna 1
2248,PIZZERIA D' ANY,CONFITERIA,ALVAREZ JONTE AV. 4001,Monte Castro,Comuna 10
2249,PIZZERIA EL LITORAL,,"PERON, EVA AV. 2507",Flores,Comuna 7
2250,PIZZERIA EL SOL,CAFE,"MANSILLA, LUCIO NORBERTO, GENERAL 2899",Recoleta,Comuna 2
2251,PIZZERIA EUROPEA,BAR,LARREA 24,Balvanera,Comuna 3
2252,PIZZERIA LA NUEVA,RESTAURANTE,BRANDSEN 600,Boca,Comuna 4
2253,PIZZERIA LOS COCOS,CAFE,CORDOBA AV. 3303,Recoleta,Comuna 2
2254,PIZZERIA MI TIO,RESTAURANTE,ESTADOS UNIDOS 400,San Telmo,Comuna 1
2255,PIZZERIA NAPOLES,RESTAURANTE,CORRIENTES AV. 5594,Villa Crespo,Comuna 15
2256,PIZZERIA SOFIA,RESTAURANTE,RIVADAVIA AV. 4101,Almagro,Comuna 5
2257,PIZZERIA VISION,,CARABOBO AV. 1107,Flores,Comuna 7
2258,PIZZERIA Y BAR PABLITO,RESTAURANTE,LARREA 691,Balvanera,Comuna 3
2259,PIZZUELA EXPRESS,RESTAURANTE,11 DE SEPTIEMBRE DE 1888 3000,NuÃƒÂ±ez,Comuna 13
2260,PLACES,RESTAURANTE,VIAMONTE 879,San Nicolas,Comuna 1
2261,Plan B Pizza,BAR,BAUNESS 2802,Villa Urquiza,Comuna 12
2262,Plan B Resto Bar,BAR,"RIVERA, PEDRO I., Dr. 5202",Villa Urquiza,Comuna 12
2263,PLATON,RESTAURANTE,PUAN 483,Caballito,Comuna 6
2264,PLAZA,RESTAURANTE,SALTA 1456,Constitucion,Comuna 1
2265,PLAZA,CAFE,RIVADAVIA AV. 4732,Caballito,Comuna 6
2266,PLAZA CORRIENTES,RESTAURANTE,CORRIENTES AV. 4656,Almagro,Comuna 5
2267,PLAZA DE LAS CARRETAS,RESTAURANTE,BOUCHARD 452,San Nicolas,Comuna 1
2268,PLAZA DEL CARMEN,CAFE,RIVADAVIA AV. 4502,Caballito,Comuna 6
2269,PLAZA DEL CÃ‚Â RMEN,RESTAURANTE,SANTA FE AV. 3402,Palermo,Comuna 14
2270,PLAZA DONNA,RESTAURANTE,SANTA FE AV. 3202,Palermo,Comuna 14
2271,PLAZA DORREGO,RESTAURANTE,DEFENSA 1093,San Telmo,Comuna 1
2272,PLAZA DORREGO BAR,BAR,DEFENSA 1098,San Telmo,Comuna 1
2273,PLAZA ITALIA,RESTAURANTE,DEL LIBERTADOR AV. 176,Retiro,Comuna 1
2274,PLAZA MAYOR,RESTAURANTE,REPUBLICA BOLIVARIANA DE VENEZUELA 1399,Monserrat,Comuna 1
2275,PLAZA ROMA,RESTAURANTE,TUCUMAN 149,San Nicolas,Comuna 1
2276,PLAZA ROMA,RESTAURANTE,BOUCHARD 484,San Nicolas,Comuna 1
2277,PLAZA TRIANA,RESTAURANTE,RIVADAVIA AV. 5103,Caballito,Comuna 6
2278,PLENO SOL ASADOR CRIOLLO,RESTAURANTE,"GARCIA LORCA, FEDERICO 399",Caballito,Comuna 6
2279,PLUSULTRA,RESTAURANTE,LAVALLE 1497,San Nicolas,Comuna 1
2280,PLUS ULTRA,RESTAURANTE,LAVALLE 401,San Nicolas,Comuna 1
2281,PLUS ULTRA,RESTAURANTE,DEL LIBERTADOR AV. 1201,Recoleta,Comuna 2
2282,PODEST,RESTAURANTE,ARMENIA 1740,Palermo,Comuna 14
2283,PODESTA,RESTAURANTE,RIVADAVIA AV. 2802,Balvanera,Comuna 3
2284,POKER,RESTAURANTE,"PELLEGRINI, CARLOS 111",San Nicolas,Comuna 1
2285,POLITEAMA,RESTAURANTE,CORRIENTES AV. 1496,San Nicolas,Comuna 1
2286,POMPEII,RESTAURANTE,CABILDO AV. 1985,Belgrano,Comuna 13
2287,POMPEII,RESTAURANTE,LAS HERAS GENERAL AV. 2601,Recoleta,Comuna 2
2288,POOL ENTRETENIMIENTO,RESTAURANTE,DIRECTORIO AV. 1240,Parque Chacabuco,Comuna 7
2289,POR ELLOS,RESTAURANTE,"MITRE, BARTOLOME 1189",San Nicolas,Comuna 1
2290,POR H O POR B,RESTAURANTE,AZCUENAGA 1781,Recoleta,Comuna 2
2291,PORTALS,BAR,BULNES 1400,Palermo,Comuna 14
2292,PORTEÃƒâ€˜ITO,CAFE,CORDOBA AV. 1652,San Nicolas,Comuna 1
2293,PORTO FINO,CAFE,"PERON, JUAN DOMINGO, TTE. GENERAL 302",San Nicolas,Comuna 1
2294,PORTO PIRATA,RESTAURANTE,"ALVEAR, MARCELO T. De 401",Retiro,Comuna 1
2295,PORTO PIZZA,BAR,"SALGUERO, JERONIMO 2671",Palermo,Comuna 14
2296,PORTO PIZZA,,CABILDO AV. 1532,Colegiales,Comuna 13
2297,PORTO VELBO,CAFE,"MITRE, BARTOLOME 301",San Nicolas,Comuna 1
2298,POR USTEDES,,GIBSON 4104,Boedo,Comuna 5
2299,POSADAS BAR,CAFE,POSADAS 1402,Recoleta,Comuna 2
2300,POSEIDON,BAR,BETHLEM 419,San Telmo,Comuna 1
2301,POSITANO,RESTAURANTE,OLLEROS AV. 1760,Palermo,Comuna 14
2302,POSTA GAUCHA,RESTAURANTE,ENTRE RIOS AV. 1444,Constitucion,Comuna 1
2303,POSTA IV,RESTAURANTE,SALTA 424,Monserrat,Comuna 1
2304,POSTA RECOLETA,CAFE,JUNIN 1770,Recoleta,Comuna 2
2305,POSTO PIZZA,RESTAURANTE,CABILDO AV. 1532,Colegiales,Comuna 13
2306,POZO BAR,RESTAURANTE,RONDEAU 1878,Parque Patricios,Comuna 4
2307,P & P X 5,RESTAURANTE,DE LOS INCAS AV. 4200,Villa Ortuzar,Comuna 15
2308,PRAGA,CAFE,LAS HERAS GENERAL AV. 2912,Recoleta,Comuna 2
2309,PRETO RESTO BAR,RESTAURANTE,JARAMILLO 1701,NuÃƒÂ±ez,Comuna 13
2310,PRETTY,RESTAURANTE,BELGRANO AV. 1402,Monserrat,Comuna 1
2311,PRETTY NORT,CAFE,CHARCAS 2599,Recoleta,Comuna 2
2312,PRIMAFILA,,PUEYRREDON AV. 2501,Recoleta,Comuna 2
2313,PRIMER CORTE,RESTAURANTE,REPUBLICA BOLIVARIANA DE VENEZUELA 1290,Monserrat,Comuna 1
2314,PRIMER EURO,CAFE,RIOBAMBA 1019,Recoleta,Comuna 2
2315,PRIMI PIATTI,RESTAURANTE,FRENCH 3015,Recoleta,Comuna 2
2316,PRIMO HUMBERTO,RESTAURANTE,HUMBERTO 1º 475,San Telmo,Comuna 1
2317,PRONTO,RESTAURANTE,JUNIN 375,Balvanera,Comuna 3
2318,PRONTO CAFE- BAR,CAFE,ARENALES 2799,Recoleta,Comuna 2
2319,PRONTO PIZZA,RESTAURANTE,FLORIDA 233,San Nicolas,Comuna 1
2320,PRONTO PIZZA,RESTAURANTE,FLORIDA 577,San Nicolas,Comuna 1
2321,PROPIZIO,CAFE,PUEYRREDON AV. 1306,Recoleta,Comuna 2
2322,PROPUESTA,CONFITERIA,VIAMONTE 826,San Nicolas,Comuna 1
2323,PROSCIUTO,RESTAURANTE,JUNIN 283,Balvanera,Comuna 3
2324,PROVENCE,CAFE,LARREA 909,Recoleta,Comuna 2
2325,PSICOSIS,BAR,"YRIGOYEN, HIPOLITO 3199",Balvanera,Comuna 3
2326,PTO. DEL CARMEN,CONFITERIA,CORDOBA AV. 628,San Nicolas,Comuna 1
2327,PUBLICO,RESTAURANTE,GORRITI 5054,Palermo,Comuna 14
2328,PUCARA,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 493",Caballito,Comuna 6
2329,PUENTE DE PIEDRA,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 344",Caballito,Comuna 6
2330,PUERTA DEL SOL,RESTAURANTE,ROSARIO 900,Caballito,Comuna 6
2331,PUERTO CRISTAL,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1082",Puerto Madero,Comuna 1
2332,PUERTO DESEADO,RESTAURANTE,SEGUROLA AV. 472,Velez Sarsfield,Comuna 10
2333,PUERTO LEYENDA,RESTAURANTE,RIVADAVIA AV. 1123,San Nicolas,Comuna 1
2334,PUERTO LUNA,RESTAURANTE,"CALVO, CARLOS 99",San Telmo,Comuna 1
2335,PUERTO VIEJO,RESTAURANTE,DON PEDRO DE MENDOZA AV. 2103,Boca,Comuna 4
2336,PULPERIA AL 900,RESTAURANTE,CRAMER AV. 2125,Belgrano,Comuna 13
2337,PULPERIA LA ARGENTINA,BAR,"ARAOZ DE LAMADRID, GREGORIO, GRAL. 801",Boca,Comuna 4
2338,PulperÃƒÂ­a QuilapÃƒÂ¡n,RESTAURANTE,DEFENSA 1344,San Telmo,Comuna 1
2339,PUNTA CANA,RESTAURANTE,"CASTRO, EMILIO AV. 5998",Mataderos,Comuna 9
2340,PUNTA CUORE,RESTAURANTE,BELGRANO AV. 1700,Monserrat,Comuna 1
2341,PUNTA CUORE,RESTAURANTE,CORRIENTES AV. 4199,Almagro,Comuna 5
2342,PUNTA NAON,BAR,"CASTRO, EMILIO AV. 7328",Mataderos,Comuna 9
2343,PUNTA SERENA,RESTAURANTE,MONTEVIDEO 783,San Nicolas,Comuna 1
2344,PUNTA Y TACO,RESTAURANTE,RIVADAVIA AV. 7519,Flores,Comuna 7
2345,PUNTO CERO,BAR,"URIBURU JOSE E., Pres. 388",Balvanera,Comuna 3
2346,PUNTO OBLIGADO,RESTAURANTE,VUELTA DE OBLIGADO 3799,NuÃƒÂ±ez,Comuna 13
2347,PUNTO SUR,CAFE,CHARCAS 3615,Palermo,Comuna 14
2348,PYKO'S BAR,CAFE,DEL LIBERTADOR AV. 8602,NuÃƒÂ±ez,Comuna 13
2349,PYZZADELICA,CAFE,BAEZ 207,Palermo,Comuna 14
2350,Q' RICO,RESTAURANTE,COBO AV. 1899,Parque Chacabuco,Comuna 7
2351,QUEBEC,RESTAURANTE,CALLAO AV. 1202,Recoleta,Comuna 2
2352,QUEBEC,CAFE,PUEYRREDON AV. 1637,Recoleta,Comuna 2
2353,QUEBEQ,RESTAURANTE,PARAGUAY 4683,Palermo,Comuna 14
2354,QUE LUGAR,CAFE,CORRALES 3157,Villa Soldati,Comuna 8
2355,QUENTIN,RESTAURANTE,BAEZ 390,Palermo,Comuna 14
2356,QUENTIN,RESTAURANTE,AREVALO 1502,Palermo,Comuna 14
2357,QUE SE YO,CAFE,CALLAO AV. 249,San Nicolas,Comuna 1
2358,QUESO Y CRUDO,RESTAURANTE,RODRIGUEZ PEÃƒâ€˜A 1169,Recoleta,Comuna 2
2359,QUE TUL...,RESTAURANTE,PADILLA 1002,Villa Crespo,Comuna 15
2360,QUICK,BAR,"CASTRO, EMILIO AV. 5680",Mataderos,Comuna 9
2361,QUIERO MAS,RESTAURANTE,RIOBAMBA 1177,Recoleta,Comuna 2
2362,QUIJOTE PIZZA CAFE,RESTAURANTE,DE MAYO AV. 1101,Monserrat,Comuna 1
2363,QUILATE,RESTAURANTE,"DIAZ, CNEL. AV. 2189",Recoleta,Comuna 2
2364,QUINCY,RESTAURANTE,CABILDO AV. 2156,Belgrano,Comuna 13
2365,QUINTA AVENIDA II,CAFE,SUIPACHA 348,San Nicolas,Comuna 1
2366,QUINTITOS CAFE,CAFE,YERBAL 2599,Flores,Comuna 7
2367,QUITAPENAS,CAFE,"URQUIZA, Gral. 606",Balvanera,Comuna 3
2368,QUORUM,CAFE,COMBATE DE LOS POZOS 61,Balvanera,Comuna 3
2369,RABBIT,RESTAURANTE,RECONQUISTA 349,San Nicolas,Comuna 1
2370,RABELAIS,RESTAURANTE,LIBERTAD 1319,Retiro,Comuna 1
2371,RABELAIS,RESTAURANTE,DEL LIBERTADOR AV. 1319,Recoleta,Comuna 2
2372,RAGNAR,RESTAURANTE,TUCUMAN 1899,Balvanera,Comuna 3
2373,RAMIRO,RESTAURANTE,MONTEVIDEO 1655,Retiro,Comuna 1
2374,RANCHO,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 6900",Mataderos,Comuna 9
2375,RAPSODIA,RESTAURANTE,ELCANO AV. 3189,Colegiales,Comuna 13
2376,RASTRO,BAR,"CABRERA, JOSE A. 4199",Palermo,Comuna 14
2377,RAVE,BAR,GORRITI 5052,Palermo,Comuna 14
2378,RAVELLO,RESTAURANTE,HONDURAS 5906,Palermo,Comuna 14
2379,RAWSON CAFE,RESTAURANTE,ROCAMORA 4302,Almagro,Comuna 5
2380,RECCO. COFFEE & BEER,RESTAURANTE,CALLAO AV. 1953,Recoleta,Comuna 2
2381,RED,RESTAURANTE,TUCUMAN 693,San Nicolas,Comuna 1
2382,REGGIO,RESTAURANTE,GUATEMALA 5798,Palermo,Comuna 14
2383,REGIO,RESTAURANTE,SINCLAIR 2934,Palermo,Comuna 14
2384,REIKY CAFE,RESTAURANTE,JUNIN 631,Balvanera,Comuna 3
2385,RELAX,RESTAURANTE,INDEPENDENCIA AV. 1101,Monserrat,Comuna 1
2386,RENATINO RISTORANTE,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1760",Puerto Madero,Comuna 1
2387,REPATA,CAFE,LAFUENTE AV. 925,Flores,Comuna 7
2388,REPLAY,RESTAURANTE,"PERON, EVA AV. 4400",Parque Avellaneda,Comuna 9
2389,RESTAURANT CASA CHINA,RESTAURANTE,VIAMONTE 1476,San Nicolas,Comuna 1
2390,RESTAURANT DEL CLUB SIRIO,RESTAURANTE,"PACHECO DE MELO, JOSE ANDRES 1902",Recoleta,Comuna 2
2391,RESTAURANTE CHINO,RESTAURANTE,ESTADO DE ISRAEL AV. 4382,Almagro,Comuna 5
2392,RESTAURANT EL RINCON,RESTAURANTE,"URIBURU JOSE E., Pres. 1759",Recoleta,Comuna 2
2393,RESTAURANT VICTORIA,RESTAURANTE,ESMERALDA 542,San Nicolas,Comuna 1
2394,RESTAURANT Y CONFITERIA DE LA PROVI,RESTAURANTE,TUCUMAN 1889,Balvanera,Comuna 3
2395,RESTO,RESTAURANTE,MONTEVIDEO 938,Recoleta,Comuna 2
2396,RESTODANTE,RESTAURANTE,HONDURAS 5535,Palermo,Comuna 14
2397,RESTOURANT PASO,RESTAURANTE,CHARCAS 3382,Palermo,Comuna 14
2398,RETABLO,RESTAURANTE,LA PLATA AV. 293,Caballito,Comuna 6
2399,REY CASTRO,RESTAURANTE,PERU 342,Monserrat,Comuna 1
2400,REY DEL SABOR,RESTAURANTE,LAVALLE 909,San Nicolas,Comuna 1
2401,RIALTO,RESTAURANTE,PARAGUAY 789,Retiro,Comuna 1
2402,RIALTO II,RESTAURANTE,25 DE MAYO 784,San Nicolas,Comuna 1
2403,RIATTO,CAFE,SAN MARTIN 621,San Nicolas,Comuna 1
2404,RIBERA SUR,BAR,SUAREZ 694,Boca,Comuna 4
2405,RICHARD'S,BAR,"ALVAREZ, JULIAN 2409",Palermo,Comuna 14
2406,RICHMOND,RESTAURANTE,TUCUMAN 2201,Balvanera,Comuna 3
2407,RICHMOND,CAFE,FLORIDA 466,San Nicolas,Comuna 1
2408,RICO RICO,RESTAURANTE,RIVADAVIA AV. 3002,Balvanera,Comuna 3
2409,RIEMPE BAR,RESTAURANTE,HUMAHUACA 4101,Almagro,Comuna 5
2410,RIGOLETTO,RESTAURANTE,RODRIGUEZ PEÃƒâ€˜A 1291,Recoleta,Comuna 2
2411,RINCON DEL PILAR,RESTAURANTE,COSQUIN 32,Liniers,Comuna 9
2412,RINCON SALTEÃƒâ€˜O,BAR,"CARRANZA, ANGEL JUSTINIANO 1996",Palermo,Comuna 14
